,solution_value
"(0, 0, 0)",-2.0
"(0, 0, 1)",12.0
"(0, 0, 2)",2.0
"(0, 0, 3)",0.0
"(0, 0, 4)",0.0
"(0, 0, 5)",0.0
"(1, 0, 0)",-2.0
"(1, 0, 1)",12.0
"(1, 0, 2)",1.8421052631578947
"(1, 0, 3)",0.0
"(1, 0, 4)",0.0
"(1, 0, 5)",-0.012631578947368419
"(2, 0, 0)",-2.0
"(2, 0, 1)",12.0
"(2, 0, 2)",1.5263157894736843
"(2, 0, 3)",0.0
"(2, 0, 4)",0.0
"(2, 0, 5)",-0.01263157894736842
"(3, 0, 0)",-2.0
"(3, 0, 1)",12.0
"(3, 0, 2)",1.210526315789474
"(3, 0, 3)",0.0
"(3, 0, 4)",0.0
"(3, 0, 5)",-0.012631578947368423
"(4, 0, 0)",-2.0
"(4, 0, 1)",12.0
"(4, 0, 2)",0.8947368421052633
"(4, 0, 3)",0.0
"(4, 0, 4)",0.0
"(4, 0, 5)",-0.012631578947368423
"(5, 0, 0)",-2.0
"(5, 0, 1)",12.0
"(5, 0, 2)",0.5789473684210527
"(5, 0, 3)",0.0
"(5, 0, 4)",0.0
"(5, 0, 5)",-0.01263157894736842
"(6, 0, 0)",-2.0
"(6, 0, 1)",12.0
"(6, 0, 2)",0.26315789473684204
"(6, 0, 3)",0.0
"(6, 0, 4)",0.0
"(6, 0, 5)",-0.01263157894736842
"(7, 0, 0)",-1.8125000000000002
"(7, 0, 1)",12.0
"(7, 0, 2)",-0.052631578947368474
"(7, 0, 3)",0.014999999999999986
"(7, 0, 4)",0.0
"(7, 0, 5)",-0.01263157894736842
"(8, 0, 0)",-1.416666666666667
"(8, 0, 1)",12.0
"(8, 0, 2)",-0.368421052631579
"(8, 0, 3)",0.01666666666666668
"(8, 0, 4)",0.0
"(8, 0, 5)",-0.01263157894736842
"(9, 0, 0)",-1.0
"(9, 0, 1)",12.0
"(9, 0, 2)",-0.6842105263157895
"(9, 0, 3)",0.01666666666666668
"(9, 0, 4)",0.0
